Gene	S21
BnaA01g00010D	180
BnaA01g00020D	28
BnaA01g00030D	160
BnaA01g00040D	11
BnaA01g00050D	292
BnaA01g00060D	95
BnaA01g00080D	80
BnaA01g00090D	7
BnaA01g00100D	82
BnaA01g00110D	1
BnaA01g00120D	30
BnaA01g00130D	1
BnaA01g00140D	9
BnaA01g00150D	15
BnaA01g00160D	2
BnaA01g00170D	579
BnaA01g00170D--BnaA08g15890D--BnaC03g61150D	49
BnaA01g00170D--BnaC03g61150D	22
BnaA01g00180D	97
BnaA01g00190D	302
BnaA01g00190D--BnaA08g15870D--BnaC03g61170D	1
BnaA01g00200D	196
BnaA01g00210D	2559
BnaA01g00210D--BnaA03g54330D	22
BnaA01g00220D	1
BnaA01g00250D	1
BnaA01g00260D	11
BnaA01g00260D--BnaC09g08180D--BnaA09g08020D	1
BnaA01g00270D	3
BnaA01g00280D	132
BnaA01g00290D	21
BnaA01g00290D--BnaCnng72090D	1
BnaA01g00300D	11
BnaA01g00310D	9
BnaA01g00320D	102
BnaA01g00340D	24
BnaA01g00350D--BnaA01g00330D	1
BnaA01g00350D--BnaA01g00330D--BnaA01g35840D	2
BnaA01g00360D	34
BnaA01g00360D--BnaA03g54130D	1
BnaA01g00360D--BnaA03g54130D--BnaA06g37740D	4
BnaA01g00360D--BnaA06g37740D	36
BnaA01g00380D	151
BnaA01g00390D	690
BnaA01g00390D--BnaA01g00380D	13
BnaA01g00400D	296
BnaA01g00400D--BnaC09g06760D	10
BnaA01g00410D	1336
BnaA01g00420D	139
BnaA01g00430D	12
BnaA01g00440D	222
BnaA01g00450D	42
BnaA01g00460D	35
BnaA01g00470D	1
BnaA01g00480D	7
BnaA01g00480D--BnaA01g00460D--BnaAnng33790D	1
BnaA01g00480D--BnaAnng33790D	45
BnaA01g00500D	15
BnaA01g00510D	32
BnaA01g00520D	1955
BnaA01g00540D--BnaCnng68210D	1
BnaA01g00570D	4
BnaA01g00580D	68
BnaA01g00590D	456
BnaA01g00600D	229
BnaA01g00610D	196
BnaA01g00620D--BnaA03g53930D	2
BnaA01g00630D	1
BnaA01g00640D	16
BnaA01g00650D	105
BnaA01g00660D	295
BnaA01g00670D	134
BnaA01g00670D--BnaC03g61550D	5
BnaA01g00670D--BnaC03g61550D--BnaA08g15610D	1
BnaA01g00680D	4
BnaA01g00690D	8
BnaA01g00700D	116
BnaA01g00700D--BnaA10g05800D	9
BnaA01g00700D--BnaA10g05800D--BnaUnng02120D	18
BnaA01g00710D	36
BnaA01g00730D	8
BnaA01g00740D	1
BnaA01g00760D	41
BnaA01g00770D	326
BnaA01g00780D	159
BnaA01g00790D	213
BnaA01g00800D	55
BnaA01g00800D--BnaA08g15530D	1
BnaA01g00830D	4
BnaA01g00850D	49
BnaA01g00850D--BnaA08g17310D--BnaC05g16980D--BnaA06g17210D--BnaA01g30440D	1
BnaA01g00850D--BnaA08g17310D--BnaC05g16980D--BnaA09g37030D--BnaA05g27820D--BnaA07g00050D--BnaA06g17210D--BnaA01g25810D--BnaA06g03060D	1
BnaA01g00850D--BnaC02g23860D--BnaA07g00050D--BnaA06g17210D--BnaC05g30490D--BnaA03g13110D--BnaA01g25810D--BnaA06g03060D	1
BnaA01g00860D	51
BnaA01g00870D	17
BnaA01g00880D	40
BnaA01g00890D	63
BnaA01g00900D	1229
BnaA01g00920D	257
BnaA01g00920D--BnaA08g15490D	7
BnaA01g00930D	162
BnaA01g00940D	44
BnaA01g00960D	4
BnaA01g00970D	92
BnaA01g00980D	116
BnaA01g00990D	204
BnaA01g01000D	1460
BnaA01g01010D	101
BnaA01g01020D	278
BnaA01g01020D--BnaC07g03180D--BnaA07g01750D	1
BnaA01g01030D	46
BnaA01g01040D	115
BnaA01g01070D	210
BnaA01g01070D--BnaA08g15420D	3
BnaA01g01070D--BnaAnng21080D	1
BnaA01g01080D	59
BnaA01g01080D--BnaAnng18230D	12
BnaA01g01090D	1
BnaA01g01100D	54
BnaA01g01110D	1
BnaA01g01110D--BnaA08g15390D--BnaC03g61850D	1
BnaA01g01120D	55
BnaA01g01140D	51
BnaA01g01140D--BnaA03g53530D	1
BnaA01g01140D--BnaA03g53530D--BnaCnng53530D	3
BnaA01g01140D--BnaCnng53530D	13
BnaA01g01150D	64
BnaA01g01150D--BnaCnng53540D	11
BnaA01g01170D	71
BnaA01g01170D--BnaC01g40690D	24
BnaA01g01180D	93
BnaA01g01180D--BnaC01g40690D	72
BnaA01g01190D	1
BnaA01g01190D--BnaA08g15340D--BnaC03g61940D	1
BnaA01g01190D--BnaC01g40700D	42
BnaA01g01200D	18
BnaA01g01200D--BnaC01g40700D	16
BnaA01g01210D	198
BnaA01g01220D	11
BnaA01g01230D	24
BnaA01g01240D	59
BnaA01g01240D--BnaAnng19790D	3
BnaA01g01250D	16
BnaA01g01250D--BnaAnng19780D	2
BnaA01g01250D--BnaC07g51180D--BnaAnng19780D	6
BnaA01g01260D	5
BnaA01g01260D--BnaAnng19770D	1
BnaA01g01260D--BnaC07g51170D	2
BnaA01g01270D	83
BnaA01g01280D	64
BnaA01g01280D--BnaA01g01260D	3
BnaA01g01300D	9
BnaA01g01310D	243
BnaA01g01330D	393
BnaA01g01330D--BnaC07g51120D	7
BnaA01g01340D	97
BnaA01g01350D	1
BnaA01g01360D	6
BnaA01g01360D--BnaA07g05850D	1
BnaA01g01370D	7
BnaA01g01400D	392
BnaA01g01410D	111
BnaA01g01420D	249
BnaA01g01430D	66
BnaA01g01440D	1
BnaA01g01450D	44
BnaA01g01460D	74
BnaA01g01470D	389
BnaA01g01470D--BnaA08g15140D	15
BnaA01g01470D--BnaA08g15140D--BnaC07g03810D--BnaC03g62040D--BnaA07g02120D	17
BnaA01g01470D--BnaC03g62040D	21
BnaA01g01470D--BnaC06g01250D--BnaA08g15140D--BnaC07g03810D--BnaC03g62040D--BnaA07g02120D	1
BnaA01g01470D--BnaC06g01250D--BnaC07g03810D--BnaA07g02120D	5
BnaA01g01470D--BnaC07g03810D--BnaA07g02120D	31
BnaA01g01480D	21
BnaA01g01490D	19
BnaA01g01500D	72
BnaA01g01500D--BnaC05g36610D	6
BnaA01g01520D	123
BnaA01g01520D--BnaC01g40730D	83
BnaA01g01540D	29
BnaA01g01550D	899
BnaA01g01560D	165
BnaA01g01570D	92
BnaA01g01580D	19
BnaA01g01590D	19
BnaA01g01600D	21
BnaA01g01620D	2
BnaA01g01630D	26
BnaA01g01640D	2
BnaA01g01650D	171
BnaA01g01660D	61
BnaA01g01670D	187
BnaA01g01680D	75
BnaA01g01690D	38
BnaA01g01690D--BnaAnng08260D	1
BnaA01g01700D	2081
BnaA01g01700D--BnaA08g14870D	53
BnaA01g01700D--BnaA08g14870D--BnaC03g62580D	77
BnaA01g01700D--BnaC03g62580D	24
BnaA01g01710D	1
BnaA01g01750D	113
BnaA01g01750D--BnaC08g11060D	2
BnaA01g01760D	31
BnaA01g01780D	145
BnaA01g01790D	130
BnaA01g01800D	220
BnaA01g01800D--BnaA08g31050D	2
BnaA01g01800D--BnaC03g62490D	6
BnaA01g01800D--BnaC03g62490D--BnaA08g31050D	1
BnaA01g01810D	16
BnaA01g01840D	2
BnaA01g01870D	70
BnaA01g01870D--BnaA08g14950D--BnaC03g62390D	3
BnaA01g01880D	1
BnaA01g01890D	1
BnaA01g01900D	95
BnaA01g01910D	22
BnaA01g01910D--BnaA03g53400D	3
BnaA01g01920D	18
BnaA01g01930D	4
BnaA01g01940D	1
BnaA01g01950D	32
BnaA01g01960D	20
BnaA01g01970D	104
BnaA01g01980D	567
BnaA01g01980D--BnaA08g14990D--BnaC03g62300D	4
BnaA01g01990D	142
BnaA01g02020D	14
BnaA01g02040D	83
BnaA01g02050D	149
BnaA01g02060D	89
BnaA01g02070D	27
BnaA01g02070D--BnaC03g62270D	1
BnaA01g02080D	1
BnaA01g02090D	747
BnaA01g02090D--BnaA03g53250D	3
BnaA01g02100D	367
BnaA01g02100D--BnaCnng48010D	146
BnaA01g02110D	21
BnaA01g02120D	19
BnaA01g02130D	23
BnaA01g02150D	17
BnaA01g02160D	275
BnaA01g02170D	82
BnaA01g02180D	208
BnaA01g02180D--BnaC03g65330D	1
BnaA01g02190D	329
BnaA01g02190D--BnaA08g10790D--BnaC03g65340D	1
BnaA01g02200D	1
BnaA01g02210D	27
BnaA01g02220D	64
BnaA01g02240D	7
BnaA01g02250D	11
BnaA01g02260D	80
BnaA01g02270D	182
BnaA01g02270D--BnaA08g10940D	1
BnaA01g02290D	38
BnaA01g02290D--BnaA03g36410D--BnaA09g18610D--BnaA09g54090D--BnaAnng14090D--BnaA03g58820D	3
BnaA01g02290D--BnaA09g54090D	33
BnaA01g02300D	959
BnaA01g02300D--BnaA09g00610D	3
BnaA01g02310D	1
BnaA01g02320D	3
BnaA01g02330D	50
BnaA01g02330D--BnaA03g00460D	1
BnaA01g02330D--BnaCnng03870D	2
BnaA01g02340D	500
BnaA01g02350D	28
BnaA01g02350D--BnaA09g41790D	118
BnaA01g02350D--BnaA09g41790D--BnaAnng15360D	7
BnaA01g02350D--BnaC03g65720D--BnaA09g41790D--BnaAnng15360D	2
BnaA01g02370D	176
BnaA01g02420D	4
BnaA01g02430D	3
BnaA01g02440D	110
BnaA01g02460D	93
BnaA01g02470D	65
BnaA01g02470D--BnaA08g11020D	1
BnaA01g02480D	33
BnaA01g02480D--BnaCnng63480D	1
BnaA01g02490D	140
BnaA01g02490D--BnaA01g33400D--BnaC01g39890D--BnaC03g33960D--BnaC05g47000D	8
BnaA01g02490D--BnaA03g52970D	5
BnaA01g02490D--BnaC05g47000D	4
BnaA01g02500D	63
BnaA01g02510D	9
BnaA01g02520D	17
BnaA01g02520D--BnaA08g11060D	1
BnaA01g02520D--BnaA08g11060D--BnaC03g65910D	1
BnaA01g02530D	252
BnaA01g02540D	78
BnaA01g02550D	18
BnaA01g02570D	190
BnaA01g02580D	34
BnaA01g02580D--BnaA08g11090D--BnaC03g65940D	1
BnaA01g02590D	79
BnaA01g02600D	19
BnaA01g02610D	44
BnaA01g02620D	274
BnaA01g02620D--BnaA08g11120D	1
BnaA01g02630D	36
BnaA01g02640D	297
BnaA01g02640D--BnaA08g11150D--BnaC03g66050D	24
BnaA01g02650D	731
BnaA01g02650D--BnaA03g52860D	2
BnaA01g02660D	197
BnaA01g02660D--BnaA08g11160D--BnaC03g66080D	3
BnaA01g02670D	388
BnaA01g02670D--BnaA08g11170D	2
BnaA01g02670D--BnaA08g11170D--BnaC03g66090D	10
BnaA01g02670D--BnaC03g29080D	2
BnaA01g02670D--BnaC03g66090D	33
BnaA01g02690D	126
BnaA01g02690D--BnaC03g66110D	4
BnaA01g02710D	4
BnaA01g02720D	2
BnaA01g02740D	109
BnaA01g02740D--BnaA01g02730D	1
BnaA01g02750D	1
BnaA01g02770D	93
BnaA01g02780D	288
BnaA01g02790D	24
BnaA01g02790D--BnaCnng65330D	5
BnaA01g02800D	143
BnaA01g02800D--BnaCnng65340D	12
BnaA01g02800D--BnaCnng65740D	22
BnaA01g02810D	87
BnaA01g02810D--BnaCnng65730D	35
BnaA01g02820D	111
BnaA01g02820D--BnaC06g16020D	4
BnaA01g02830D	68
BnaA01g02840D	49
BnaA01g02840D--BnaC03g45080D	8
BnaA01g02850D	6
BnaA01g02860D	111
BnaA01g02870D	12
BnaA01g02880D	101
BnaA01g02890D	57
BnaA01g02900D	29
BnaA01g02910D	40
BnaA01g02920D	62
BnaA01g02920D--BnaCnng62850D	28
BnaA01g02930D	92
BnaA01g02940D	242
BnaA01g02950D	277
BnaA01g02950D--BnaA03g50930D	39
BnaA01g02950D--BnaC03g77060D	2
BnaA01g02970D	21
BnaA01g02970D--BnaA08g11350D--BnaC03g77070D	8
BnaA01g02970D--BnaA08g11350D--BnaC03g77070D--BnaCnng64910D	4
BnaA01g02970D--BnaCnng64910D	8
BnaA01g02980D	109
BnaA01g02990D	42
BnaA01g03010D	230
BnaA01g03010D--BnaA08g11370D--BnaCnng47320D	3
BnaA01g03020D	463
BnaA01g03040D	13
BnaA01g03050D	349
BnaA01g03050D--BnaA09g08500D	3
BnaA01g03050D--BnaC06g20070D	76
BnaA01g03050D--BnaC06g20070D--BnaC03g77220D	2
BnaA01g03050D--BnaC06g20080D	18
BnaA01g03050D--BnaC06g20080D--BnaA08g11610D--BnaC03g77220D	16
BnaA01g03050D--BnaC06g20080D--BnaA09g08500D--BnaA08g11610D--BnaC03g77220D	1
BnaA01g03050D--BnaC06g20080D--BnaC03g77220D	8
BnaA01g03060D	740
BnaA01g03060D--BnaA03g50870D	1
BnaA01g03070D	59
BnaA01g03080D	4
BnaA01g03090D	1
BnaA01g03100D	13
BnaA01g03110D	8
BnaA01g03120D	19
BnaA01g03130D	16
BnaA01g03140D	1
BnaA01g03150D	121
BnaA01g03180D	1
BnaA01g03180D--BnaA01g03170D	1
BnaA01g03200D	25
BnaA01g03210D	26
BnaA01g03210D--BnaC02g13880D	6
BnaA01g03220D--BnaAnng34680D	4
BnaA01g03230D	70
BnaA01g03230D--BnaA08g11450D	1
BnaA01g03230D--BnaC03g66410D--BnaA08g11450D	15
BnaA01g03230D--BnaC04g25670D	10
BnaA01g03230D--BnaC04g25670D--BnaA08g11450D	1
BnaA01g03240D	63
BnaA01g03260D	363
BnaA01g03270D	174
BnaA01g03280D	32
BnaA01g03300D	26
BnaA01g03310D	39
BnaA01g03320D	216
BnaA01g03330D	11
BnaA01g03340D	31
BnaA01g03350D	36
BnaA01g03360D	30
BnaA01g03360D--BnaA03g52570D	1
BnaA01g03370D	181
BnaA01g03380D	163
BnaA01g03390D	64
BnaA01g03400D	195
BnaA01g03410D	25
BnaA01g03410D--BnaAnng40740D	9
BnaA01g03420D	21
BnaA01g03430D	79
BnaA01g03440D	47
BnaA01g03450D	41
BnaA01g03460D	37
BnaA01g03470D	100
BnaA01g03470D--BnaA03g52550D	1
BnaA01g03480D	33
BnaA01g03500D	13
BnaA01g03510D	209
BnaA01g03510D--BnaA08g11770D	4
BnaA01g03510D--BnaC03g66580D--BnaA08g11770D	1
BnaA01g03520D	38
BnaA01g03530D	17
BnaA01g03530D--BnaA03g52500D--BnaAnng37460D	2
BnaA01g03540D	5
BnaA01g03540D--BnaCnng66970D	2
BnaA01g03550D	40
BnaA01g03560D	51
BnaA01g03570D	2
BnaA01g03570D--BnaA08g11820D	1
BnaA01g03580D	52
BnaA01g03580D--BnaCnng63440D	4
BnaA01g03590D	31
BnaA01g03600D	70
BnaA01g03600D--BnaA03g52440D	3
BnaA01g03600D--BnaC03g66710D	1
BnaA01g03610D	357
BnaA01g03620D	3
BnaA01g03630D	134
BnaA01g03630D--BnaA03g52420D	2
BnaA01g03630D--BnaC03g66740D--BnaA08g11880D	1
BnaA01g03630D--BnaC03g66740D--BnaA08g11880D--BnaA03g52420D	1
BnaA01g03640D	126
BnaA01g03640D--BnaA03g52400D	1
BnaA01g03640D--BnaC01g40760D	63
BnaA01g03640D--BnaCnng63540D	40
BnaA01g03650D	84
BnaA01g03650D--BnaA03g52390D	1
BnaA01g03660D	2
BnaA01g03670D	3
BnaA01g03680D	1711
BnaA01g03730D	29
BnaA01g03740D	1
BnaA01g03760D	1
BnaA01g03780D	4
BnaA01g03790D	1410
BnaA01g03790D--BnaA08g11910D	11
BnaA01g03790D--BnaC03g66770D	8
BnaA01g03800D	133
BnaA01g03810D	88
BnaA01g03810D--BnaAnng32060D	87
BnaA01g03820D	38
BnaA01g03820D--BnaC03g66780D	1
BnaA01g03820D--BnaC03g66780D--BnaA08g11930D	1
BnaA01g03820D--BnaC04g38300D--BnaA04g15350D	4
BnaA01g03830D	87
BnaA01g03830D--BnaA03g52330D	8
BnaA01g03840D	72
BnaA01g03840D--BnaA03g52320D	2
BnaA01g03850D	8
BnaA01g03860D	3060
BnaA01g03880D	128
BnaA01g03890D	74
BnaA01g03900D	1
BnaA01g03910D	1
BnaA01g03920D	1
BnaA01g03930D	1
BnaA01g03940D	3
BnaA01g03950D	3
BnaA01g03950D--BnaA01g03890D	50
