gene	day	shoot_qPCR_rep1	shoot_qPCR_rep2	shoot_qPCR_rep3	shoot_qPCR_mean	shoot_qPCR_sd	root_qPCR_rep1	root_qPCR_rep2	root_qPCR_rep3	root_qPCR_mean	root_qPCR_sd
ABCG40	1	5.34	6.15	5.09	5.526666667	0.554105886	3.09	4.37	3.52	3.66	0.651383144
ABCG40	3	5.34	5.38	5.87	5.53	0.295127091	4.37	3.64	5.28	4.43	0.821644692
ABCG40	5	5.09	6.64	6.25	5.993333333	0.806246447	2.31	2.57	2.24	2.373333333	0.173877351
BBE4	1	3.88	4.3	3.59	3.923333333	0.356978057	2.58	4.31	3.93	3.606666667	0.909193782
BBE4	3	4.06	3.76	4.23	4.016666667	0.23797759	3.9	3.14	5.92	4.32	1.436802004
BBE4	5	5.3	5.11	5.94	5.45	0.434856298	2.22	1.16	1.77	1.716666667	0.532008772
CYP710A1	1	2.97	3.59	2.63	3.063333333	0.486757982	2.73	3.47	2.9	3.033333333	0.38759945
CYP710A1	3	1.24	1.63	2.21	1.693333333	0.488091521	3.33	2.27	3.73	3.11	0.754453445
CYP710A1	5	1.14	2.04	2	1.726666667	0.508461732	1.43	0.92	1.68	1.343333333	0.387341365
RBCSF1	1	-1.85	-3.07	-1.87	-2.263333333	0.698665394	-1.62	-1.21	-0.83	-1.22	0.395094925
RBCSF1	3	-2	-2.36	-1.61	-1.99	0.375099987	-0.49	-2.2	-1.31	-1.333333333	0.855238758
RBCSF1	5	-2.74	-2.45	-0.97	-2.053333333	0.949333099	-2.06	-1.51	-1.02	-1.53	0.520288382
