	read_count	aligned_reads	mmquant	mmquant_AT	Sample	Day
S3	8253083	7693745	6816531	6343298	Root Control 1	"D1"
S4	9929144	9343498	8218896	7627849	Root Control 2	"D1"
S7	13929472	13087136	11530442	10591161	Root Infected 1	"D1"
S8	6819725	6304352	5535013	5077279	Root Infected 2	"D1"
S1	8310825	7868533	7070281	6634258	Shoot Control 1	"D1"
S2	10041805	9554932	8827950	8379091	Shoot Control 2	"D1"
S5	11282360	10705948	9589903	8872034	Shoot Infected 1	"D1"
S6	11137515	10556085	9522219	8842230	Shoot Infected 2	"D1"
S19	9180623	8454463	7321502	6710318	Root Control 1	"D3"
S20	7701435	7082782	6009166	5487717	Root Control 2	"D3"
S23	9060010	7013881	6149769	5619939	Root Infected 1	"D3"
S24	8486056	4300104	3650327	3345862	Root Infected 2	"D3"
S17	9968343	9446304	8611673	8087424	Shoot Control 1	"D3"
S18	10361986	9817663	8947954	8402189	Shoot Control 2	"D3"
S21	11526579	11025423	9935559	9013071	Shoot Infected 1	"D3"
S22	8922228	8366129	7525534	6844265	Shoot Infected 2	"D3"
S11	10021411	9325470	7494849	6815458	Root Control 1	"D5"
S12	10714364	9964265	8443886	7720823	Root Control 2	"D5"
S9	47728242	45159500	40964428	38564742	Shoot Control 1	"D5"
S10	34591893	32664511	29574867	27875369	Shoot Control 2	"D5"
S15	9001864	5504582	4579525	4116708	Root Infected 1	"D5"
S16	8843452	7445814	6041103	5453453	Root Infected 2	"D5"
S13	6766301	6290422	5613363	5225038	Shoot Infected 1	"D5"
S14	7642204	7206482	6357766	5882027	Shoot Infected 2	"D5"
