Bnapus_genes	top2_bitscore_diff
CDY67701	781
CDY48450	373
CDY39793	5
CDY39800	146
CDY39804	964
CDY39766	2589
CDY39783	829
CDY39805	487
CDY39811	417
CDY39806	13
CDY39780	282
CDY39796	334
CDY39797	174
CDY39784	972
CDY39794	203
CDY66573	324
CDY66574	20
CDY56697	216
CDY56691	74
CDY56693	681
CDY40201	480
CDY40233	343
CDY40204	812
CDY40231	499
CDY40241	707
CDY40245	189
CDX81120	200
CDX81101	343
CDX81020	1143
CDX81135	105
CDX80871	128
CDX80935	1642.9
CDX80881	683
CDX81179	188
CDX81118	22
CDX80937	1613
CDX80876	1138
CDX80846	6
CDX80980	233
CDX80914	517
CDX81009	1262
CDX80778	1717
CDX81023	207
CDX81096	582
CDX81169	122
CDX80973	281
CDX81015	395
CDX80788	1.8
CDX81004	489
CDX80916	452
CDX81132	1910
CDX81047	1019
CDX81052	333
CDX81165	307
CDX81087	264
CDX80905	527
CDX80976	68
CDX80860	336
CDX81032	118
CDX81140	388
CDX81145	827
CDX80889	26
CDX81168	268
CDX81129	49
CDX81108	2144
CDX80766	178
CDX81074	504
CDX80883	975
CDX80885	700
CDX80759	67
CDX81073	538
CDX80998	327
CDX80991	88
CDX80859	469
CDX80906	212
CDX81030	146
CDX80924	155
CDX81044	689
CDX81066	272
CDX81112	548
CDX81156	519
CDX81038	1120
CDX81042	235
CDX81158	56
CDX81070	155
CDX80810	582
CDX80765	234
CDX80837	1139
CDX81170	67
CDX81046	1006
CDX80794	20
CDX81183	143.7
CDX81114	294
CDX80748	15
CDX80925	312
CDX80847	59
CDX80921	917
CDX81034	280
CDX80920	713
CDX80926	1946
CDX81092	356
CDX80773	17
CDX81121	553
CDX81050	590
CDX81147	394
CDX80951	4175
CDX81180	781
CDX81116	369
CDX81117	2070
CDX81067	183
CDX80795	47
CDX80842	149
CDX81119	3
CDX80819	1021
CDX80809	1526.4
CDX81163	371
CDX80862	213
CDX80970	2063
CDX80840	180
CDX81069	621
CDX81080	761
CDY54567	3072.6
CDY54565	24
CDY54568	573
CDY54559	1677
CDY63601	0
CDY63593	4
CDY45196	486
CDY45195	554
CDY45202	720
CDY45186	655
CDY45199	105
CDY45175	888
CDY45171	1014
CDY45198	1018
CDY45189	497
CDY45174	1055
CDY69111	833
CDY53735	197
CDY53728	380
CDY31374	4
CDY31380	360
CDY31378	861
CDY31401	526
CDY31383	33
CDY31384	5
CDY31414	671
CDY31398	597
CDY31409	277
