qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
CDY60769	AT3G54050	87.51	1257	142	8	1	1245	1	1254	0	1437
CDY60770	AT3G54040	84.268	553	79	5	1	546	1	552	1.17e-150	532
CDY60767	AT3G54050	87.768	1259	141	8	1	1251	1	1254	0	1459
CDY70581	AT3G57870	90.683	483	45	0	1	483	1	483	0	643
CDY67702	AT3G56060	81.893	972	169	6	126	1092	732	1701	0	813
CDY43488	AT1G54870	86.322	870	116	2	1	870	148	1014	0	944
CDY43482	AT1G54730	85.396	1390	196	5	5	1389	26	1413	0	1435
CDY43486	AT1G54850	83.542	559	87	4	178	735	67	621	4.48e-146	518
CDY43490	AT1G55020	89.727	2385	243	2	1229	3612	197	2580	0	3046
CDY43489	AT1G54990	83.592	1225	197	3	79	1301	124	1346	0	1146
CDY43491	AT1G55050	77.56	1328	220	42	13	1280	34	1343	0	730
CDY43483	AT1G54780	86.427	862	104	9	1	854	1	857	0	931
CDY43484	AT1G54840	85.475	358	48	4	632	987	695	1050	1.8e-101	370
CDY64713	AT2G24255	98	50	1	0	75	124	103	152	3.67e-17	87.9
CDY70765	AT2G37220	80.588	510	70	15	1	500	1	491	1.26e-100	366
CDY58704	AT1G48090	92.211	1592	115	4	1143	2734	1281	2863	0	2244
CDY68561	AT2G45410	85.49	572	69	7	1	559	4	574	3.32e-166	584
CDY48459	AT2G14660	85.106	470	55	5	1	455	1	470	1.01e-130	466
CDY48451	AT2G14210	91.101	427	38	0	1	427	1	427	1.25e-164	579
CDY63947	AT1G77520	85.353	1147	164	4	1	1145	1	1145	0	1184
CDY39817	AT1G16420	83.871	62	10	0	404	465	407	468	4.35e-08	60.2
CDY39803	AT1G62640	89.416	822	87	0	1	822	394	1215	0	1037
CDY39776	AT2G20430	80.458	655	81	17	1	624	1	639	8.36e-128	457
CDY39788	AT2G14110	86.444	568	75	2	1	567	1	567	2.56e-177	621
CDY39781	AT2G20710	81.875	1451	211	24	1	1416	1	1434	0	1175
CDY39768	AT2G20310	84.821	336	43	7	181	515	217	545	9.48e-90	331
CDY39764	AT2G20280	90.752	1103	90	6	1	1094	1	1100	0	1461
CDY39814	AT1G62800	87.685	1218	150	0	1	1218	1	1218	0	1419
CDY39769	AT2G20320	90.183	2404	221	6	535	2926	688	3088	0	3118
CDY39761	AT2G20190	90.072	4321	401	13	1	4298	1	4316	0	5578
CDY39782	AT2G20900	88.48	1467	160	5	13	1470	10	1476	0	1764
CDY39791	AT2G02020	77.249	189	29	7	126	310	1455	1633	2.9e-20	99
CDY39774	AT2G20370	85.246	1464	212	4	332	1793	392	1853	0	1504
CDY39790	AT2G04750	87.379	1450	169	9	1	1446	1	1440	0	1652
CDY39816	AT1G62940	89.636	1621	152	7	1	1607	1	1619	0	2049
CDY39787	AT3G25290	82.714	1157	184	13	8	1156	8	1156	0	1014
CDY39772	AT2G20360	91.355	1203	104	0	4	1206	1	1203	0	1646
CDY39773	AT2G20362	84.718	373	51	3	1	370	1	370	2.41e-101	368
CDY39767	AT2G20300	88.955	2019	203	13	189	2197	219	2227	0	2475
CDY39795	AT1G62400	89.258	1173	126	0	1	1173	1	1173	0	1469
CDY39810	AT3G16710	72.4	1029	261	20	95	1107	419	1440	6.15e-82	305
CDY39777	AT2G20490	89.744	195	20	0	1	195	1	195	4.35e-66	250
CDY39786	AT3G24830	89.194	620	65	2	1	619	1	619	0	773
CDY39815	AT5G01730	78.169	994	142	37	1	952	1	961	2.36e-159	564
CDY39775	AT2G20400	81.659	627	94	6	343	954	574	1194	5.89e-141	501
CDY39808	AT1G62710	87.779	1432	161	9	1	1422	1	1428	0	1663
CDY39763	AT2G20250	77.094	1576	239	60	81	1562	105	1652	0	798
CDY56688	AT3G53350	81.818	869	129	11	1	844	1	865	0	702
CDY56696	AT3G53400	84.637	358	49	4	257	608	950	1307	4.22e-96	351
CDY56690	AT3G53360	83.544	2291	372	4	9	2298	9	2295	0	2137
CDY40239	AT3G55580	88.071	1358	141	9	82	1418	97	1454	0	1591
CDY40214	AT3G55380	88.515	505	56	2	1	504	1	504	4.85e-174	610
CDY40234	AT3G55510	83.522	1505	230	12	389	1884	281	1776	0	1389
CDY40244	AT3G55640	88.282	1007	109	6	1	1007	1	998	0	1197
CDY40235	AT3G55515	83.051	177	25	5	66	241	42	214	1.39e-37	156
CDY40197	AT3G55080	87.179	507	53	5	1	501	574	1074	1.08e-160	566
CDY40200	AT3G55080	85.771	1258	158	11	148	1396	136	1381	0	1312
CDY40198	AT3G55070	88.889	1260	125	10	1	1248	1	1257	0	1537
CDY40237	AT3G55530	89.604	808	78	2	1	805	1	805	0	1022
CDY40220	AT3G55440	86.667	330	23	9	292	621	406	714	2.04e-94	346
CDY40242	AT3G55620	91.328	738	64	0	1	738	1	738	0	1009
CDY40243	AT3G55630	88.128	1474	149	12	31	1482	10	1479	0	1729
CDY40218	AT3G55430	85.495	1365	180	9	1	1362	1	1350	0	1408
CDY40246	AT3G55660	86.585	1476	158	22	3	1449	6	1470	0	1592
CDY40217	AT3G55420	87.27	652	77	5	1	649	1	649	0	739
CDY40206	AT3G55240	96.875	288	9	0	1	288	1	288	6.08e-136	483
CDY40202	AT3G55120	82.848	653	109	2	15	667	24	673	1.62e-165	582
CDY40208	AT3G55280	87.768	466	55	2	1	465	1	465	4.58e-154	544
CDY40219	AT3G55430	84.203	1361	189	16	1	1353	1	1343	0	1299
CDY40213	AT3G55370	84.116	554	64	5	180	721	51	592	8.5e-145	514
CDY40211	AT3G55360	89.711	933	96	0	1	933	1	933	0	1192
CDY40210	AT3G55340	84.507	213	22	6	1461	1666	1278	1486	5.17e-50	200
CDY40228	AT3G54910	79.439	321	61	3	2	321	254	570	1.95e-57	222
CDY40225	AT3G54910	77.978	890	180	13	273	1154	234	1115	1.2e-153	544
CDY40215	AT3G55390	89.792	578	59	0	1	578	1	578	0	741
CDY40205	AT3G55180	87.076	913	116	2	1	912	1	912	0	1031
CDY40238	AT3G51895	89.765	723	74	0	1	723	136	858	0	926
CDY40221	AT3G55450	85.141	1171	157	9	1	1155	1	1170	0	1182
CDY40224	AT3G55480	88.805	2385	249	14	904	3274	579	2959	0	2909
CDY40216	AT3G55400	87.953	1710	190	10	72	1773	150	1851	0	2002
CDY40207	AT3G55250	86.247	858	94	13	1	858	1	834	0	909
CDY40223	AT3G55470	90.578	467	44	0	1	467	1	467	7.45e-177	619
CDY40236	AT3G55520	90.893	571	52	0	1	571	1	571	0	767
CDX81049	AT5G07390	81.818	1826	299	27	291	2098	393	2203	0	1502
CDX80971	AT5G05740	87.077	1594	189	9	1	1587	1	1584	0	1786
CDX80760	AT5G01620	84.13	1380	177	23	1	1368	1	1350	0	1297
CDX80768	AT5G01520	87.449	733	78	5	1	723	1	729	0	832
CDX81134	AT5G09650	90.258	852	80	1	35	883	47	898	0	1110
CDX80933	AT5G04970	90.099	1010	99	1	51	1059	866	1875	0	1310
CDX80771	AT5G01500	89.447	995	99	2	181	1175	229	1217	0	1251
CDX80817	AT5G02380	87.958	191	11	5	24	214	54	232	1.78e-55	215
CDX80868	AT5G03430	89.646	1497	146	2	1	1491	1	1494	0	1897
CDX81058	AT5G07475	84.922	577	79	5	1	572	1	574	5.75e-164	577
CDX81099	AT5G08380	89.539	1128	118	0	118	1245	106	1233	0	1430
CDX81130	AT5G09530	78.667	300	59	5	1	299	1	296	5.71e-49	195
CDX80828	AT5G02530	83.036	896	105	24	1	868	1	877	0	769
CDX81076	AT5G07890	83.987	1249	177	15	1	1245	1	1230	0	1177
CDX80757	AT5G01650	87.988	333	39	1	1	333	1	332	1.43e-108	392
CDX80989	AT2G47990	79.826	1606	301	16	1	1602	1	1587	0	1149
CDX81171	AT5G10400	86.034	179	25	0	105	283	231	409	1.13e-48	193
CDX80894	AT5G03870	77.619	630	65	34	1	568	1	616	1.81e-84	313
CDX81127	AT5G09470	88.264	1014	113	2	1	1008	1	1014	0	1208
CDX81095	AT5G08335	86.364	594	81	0	1	594	1	594	0	649
CDX81010	AT5G06610	81.579	228	30	4	1	216	1	228	2.92e-44	178
CDX81000	AT5G06320	85.036	695	98	3	17	708	5	696	0	702
CDX80919	AT5G04760	84.332	651	87	6	1	639	1	648	7.98e-178	623
CDX81016	AT5G06710	86.784	454	49	7	331	783	568	1011	2.24e-139	496
CDX81036	AT5G07170	81.947	986	147	14	46	1011	100	1074	0	806
CDX80822	AT5G02460	85.622	1245	110	30	1	1221	1	1200	0	1243
CDX80956	AT5G05210	84.341	728	94	10	350	1061	434	1157	0	695
CDX80807	AT5G02170	84.081	446	58	6	1	441	1	438	3.33e-116	418
CDX80880	AT5G03610	84.913	1087	153	10	1	1083	1	1080	0	1088
CDX80770	AT5G01510	91.328	738	64	0	591	1328	549	1286	0	1009
CDX81031	AT5G07030	86.509	845	114	0	520	1364	523	1367	0	929
CDX80981	AT5G05990	85.651	676	91	6	111	780	105	780	0	706
CDX81148	AT5G09920	89.448	417	26	10	1	399	1	417	3.95e-144	510
CDX80782	AT5G01220	87.289	1306	121	12	1	1267	229	1528	0	1450
CDX80761	AT5G01610	85.77	513	73	0	1	513	1	513	5.08e-154	544
CDX80975	AT5G05820	86.819	918	121	0	1	918	7	924	0	1026
CDX80866	AT5G03380	78.808	1208	163	52	14	1161	5	1179	0	726
CDX80897	AT5G03890	82.841	542	68	18	1	537	1	522	1.55e-129	462
CDX80750	AT1G01060	77.768	1147	139	53	659	1702	797	1930	3.67e-170	599
CDX81103	AT5G08410	81.541	558	64	18	1	528	1	549	7.2e-118	424
CDX80763	AT5G01590	85.372	1545	203	12	1	1523	1	1544	0	1580
CDX80869	AT5G03455	89.294	411	41	1	31	438	31	441	1.21e-144	512
CDX80796	AT5G01030	79.027	1459	171	58	600	2001	855	2235	0	874
CDX81154	AT5G10050	87.694	837	103	0	1	837	1	837	0	976
CDX80888	AT5G03795	84.003	1569	218	14	1	1548	1	1557	0	1476
CDX80804	AT5G02130	87.182	905	114	1	32	936	361	1263	0	1027
CDX81021	AT5G06850	88.382	723	82	2	4	725	7	728	0	869
CDX80829	AT5G02580	93.478	276	18	0	1	276	1	276	2.78e-114	411
CDX80780	AT5G01260	79.264	1114	152	42	213	1308	106	1158	0	704
CDX80922	AT5G04830	89.21	519	53	3	65	580	14	532	0	645
CDX80756	AT5G01670	88.557	970	109	2	1	969	1	969	0	1175
CDX80855	AT5G03170	87.5	744	78	8	1	732	1	741	0	845
CDX80890	AT5G03840	91.107	506	45	0	1	506	10	515	0	686
CDX81026	AT4G21150	100	36	0	0	946	981	957	992	3.53e-10	67.6
CDX81175	AT5G44050	81.715	968	120	27	1	917	1	962	0	754
CDX80753	AT5G01720	85.893	1914	267	1	32	1945	26	1936	0	2036
CDX81124	AT5G09330	88.333	540	63	0	1	540	1	540	0	649
CDX81126	AT5G09430	88.072	939	109	2	1	939	1	936	0	1110
CDX80953	AT5G05180	74.975	999	182	30	109	1052	94	1079	1.01e-109	398
CDX81041	AT5G07210	79.453	988	167	17	9	969	123	1101	0	667
CDX80754	AT5G01710	84.625	1522	193	24	25	1515	31	1542	0	1476
CDX81002	AT5G06370	86.079	783	106	1	1	783	1	780	0	839
CDX80948	AT5G05140	80.34	412	57	5	241	634	469	874	1.46e-77	291
CDX81110	AT5G08530	94.643	56	3	0	50	105	127	182	1.73e-17	87.9
CDX81093	AT5G08305	85.409	1076	157	0	404	1479	494	1569	0	1118
CDX81102	AT5G08400	91.153	859	76	0	39	897	45	903	0	1166
CDX80983	AT3G11450	78.025	810	155	21	184	983	289	1085	5.54e-137	488
CDX80886	AT5G03770	86.07	201	24	3	1	201	1120	1316	6.31e-55	213
CDX81005	AT5G06410	88.848	547	59	2	1648	2193	214	759	0	671
CDX81160	AT2G34250	85.714	273	15	7	48	296	780	1052	6.97e-71	267
CDX81152	AT5G10010	87.054	981	127	0	112	1092	325	1305	0	1109
CDX81131	AT5G09550	92.601	1338	99	0	1	1338	1	1338	0	1923
CDX80858	AT5G03250	88.649	1762	188	1	1	1750	1	1762	0	2135
CDX80803	AT5G02120	86.686	338	38	6	1021	1356	1	333	8.94e-101	368
CDX81111	AT5G08540	85.137	841	120	4	210	1049	189	1025	0	856
CDX80902	AT5G04080	84.239	184	17	7	27	204	15	192	1.32e-41	169
CDX80841	AT5G02850	82.31	277	32	3	475	735	1006	1281	1.09e-57	224
CDX80777	AT5G01340	86.349	901	123	0	321	1221	30	930	0	983
CDX80769	AT3G45850	88.439	346	33	6	112	452	2377	2720	8.35e-114	411
CDX81068	AT5G07730	83.618	293	37	5	429	711	498	789	6.25e-70	265
CDX80928	AT5G04900	90.067	1047	101	3	1	1044	1	1047	0	1354
CDX81098	AT5G08370	89.223	1197	123	3	1	1197	1	1191	0	1491
CDX80979	AT5G05980	87.915	1597	175	8	132	1728	138	1716	0	1864
CDX81123	AT5G09310	86.591	440	45	9	6	432	3	441	5.64e-133	473
CDX80877	AT5G03580	82.292	288	45	2	1	285	1	285	3.34e-64	244
CDX81109	AT5G08530	94.872	234	12	0	127	360	1228	1461	8.13e-101	366
